stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0217,,"Lakeshore Rd W At Whittier Cres",,  43.534010, -79.604741,,,0,,America/Toronto,1
0218,,"Lakeshore Rd W At Maple Ave S",,  43.542860, -79.595142,,,0,,America/Toronto,1
0219,,"Lakeshore Rd W At Shawnmarr Rd",,  43.540221, -79.598026,,,0,,America/Toronto,1
0221,,"Lakeshore Rd W At Benson Ave",,  43.544505, -79.593421,,,0,,America/Toronto,1
0222,,"Lakeshore Rd W East Of  Benson Ave",,  43.545854, -79.591867,,,0,,America/Toronto,1
0223,,"Lakeshore Rd W At Mississauga Rd",,  43.547710, -79.589769,,,0,,America/Toronto,1
0224,,"Lakeshore Rd W At Front St S",,  43.549967, -79.587339,,,0,,America/Toronto,1
0225,,"Lakeshore Rd W At Festavon Crt",,  43.526580, -79.612808,,,0,,America/Toronto,1
0226,,"Park St At Mississauga Rd",,  43.549501, -79.591906,,,0,,America/Toronto,1
0227,,"Mississauga Rd West Of Kane Rd",,  43.550752, -79.597670,,,0,,America/Toronto,0
0228,,"Indian Rd At Kane Rd",,  43.550777, -79.602659,,,0,,America/Toronto,1
0229,,"Indian Rd At Indian Grove",,  43.547257, -79.606441,,,0,,America/Toronto,1
0230,,"Indian Rd At Woodeden Dr",,  43.542445, -79.611986,,,0,,America/Toronto,1
0231,,"Indian Rd At Tecumseh Park Dr",,  43.541825, -79.613622,,,0,,America/Toronto,1
0232,,"Indian Rd At Caldwell Ave",,  43.540291, -79.617766,,,0,,America/Toronto,1
0233,,"Indian Rd At Birchview Dr",,  43.538686, -79.622110,,,0,,America/Toronto,1
0234,,"Indian Rd At Narva Rd",,  43.537387, -79.625618,,,0,,America/Toronto,1
0235,,"Lorne Park Rd At Indian Rd",,  43.536079, -79.628407,,,0,,America/Toronto,0
0236,,"Lorne Park Rd At Crescent Rd",,  43.535200, -79.627165,,,0,,America/Toronto,0
0237,,"Truscott Dr West Of Lorne Park Rd",,  43.532235, -79.625450,,,0,,America/Toronto,1
0238,,"Truscott Dr At Chasehurst Dr",,  43.531567, -79.627594,,,0,,America/Toronto,1
0239,,"Truscott Dr At Fairmile Dr",,  43.527572, -79.633822,,,0,,America/Toronto,1
0240,,"Truscott Dr At Clarkson Rd N",,  43.526181, -79.635759,,,0,,America/Toronto,1
0241,,"Truscott Dr At Delaney Dr",,  43.524551, -79.637207,,,0,,America/Toronto,1
0242,,"Truscott Dr At Robillard Rd",,  43.522861, -79.638952,,,0,,America/Toronto,1
0243,,"Truscott Dr At Davebrook Rd",,  43.519967, -79.640205,,,0,,America/Toronto,1
0244,,"Southdown Rd At Wiseman Crt",,  43.516289, -79.636787,,,0,,America/Toronto,1
0245,,"Southdown Rd At Truscott Dr",,  43.518971, -79.640488,,,0,,America/Toronto,1
0246,,"Truscott Dr At Davebrook Rd",,  43.519679, -79.640162,,,0,,America/Toronto,1
0247,,"Truscott Dr At Robillard Rd",,  43.522566, -79.638907,,,0,,America/Toronto,1
0248,,"Truscott Dr At Delaney Dr",,  43.524513, -79.637047,,,0,,America/Toronto,1
0249,,"Truscott Dr At Clarkson Rd",,  43.525895, -79.635890,,,0,,America/Toronto,1
0250,,"Truscott Dr At Mazo Cres",,  43.527356, -79.633877,,,0,,America/Toronto,1
0251,,"Truscott Dr At Chasehurst Dr",,  43.531298, -79.627711,,,0,,America/Toronto,1
0252,,"Truscott Dr At Lorne Park Rd",,  43.532177, -79.625167,,,0,,America/Toronto,1
0253,,"Lorne Park Rd At Lindburgh Crt",,  43.533110, -79.624118,,,0,,America/Toronto,1
0254,,"Lorne Park Rd At Royal Oaks Rd",,  43.535105, -79.626796,,,0,,America/Toronto,1
0255,,"Lorne Park Rd At Indian Rd",,  43.536203, -79.628281,,,0,,America/Toronto,1
0256,,"Indian Rd At Narva Rd",,  43.537182, -79.625796,,,0,,America/Toronto,1
0257,,"Indian Rd At Birchview Dr",,  43.538603, -79.621914,,,0,,America/Toronto,1
0258,,"Indian Rd At Caldwell Ave",,  43.540146, -79.617708,,,0,,America/Toronto,0
0259,,"Indian Rd At Tecumseh Park Dr",,  43.541558, -79.613863,,,0,,America/Toronto,1
0260,,"Indian Rd At Woodeden Dr",,  43.542582, -79.611401,,,0,,America/Toronto,0
0261,,"Indian Rd At Indian Grove",,  43.547092, -79.606384,,,0,,America/Toronto,1
0262,,"Indian Rd At Kane Rd",,  43.550792, -79.602398,,,0,,America/Toronto,1
0263,,"Mississauga Rd South Of Indian Rd",,  43.550629, -79.597970,,,0,,America/Toronto,1
0264,,"Mississauga Rd N At Park St",,  43.549240, -79.591912,,,0,,America/Toronto,1
0265,,"Mississauga Rd At Lakeshore Rd W",,  43.548236, -79.590066,,,0,,America/Toronto,1
0266,,"Lakeshore Rd W At Johnsons Lane",,  43.522524, -79.617603,,,0,,America/Toronto,1
0267,,"Lakeshore Rd W At John St N",,  43.549571, -79.588066,,,0,,America/Toronto,1
0268,,"Lakeshore Rd W At Mississauga Rd",,  43.548266, -79.589582,,,0,,America/Toronto,1
0269,,"Lakeshore Rd W At Benson Ave",,  43.544642, -79.593591,,,0,,America/Toronto,1
0270,,"Lakeshore Rd W At Maple Ave N",,  43.543175, -79.595160,,,0,,America/Toronto,1
0272,,"Lakeshore Rd W At Shawnmarr Rd",,  43.540697, -79.597903,,,0,,America/Toronto,1
